"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"861","Did you vote for Dr. Jill Stein?.. 
#Green #GoGreen #JillStein #SteinBaraka #JillNotHill #Revolution

Take Survey.. https://t.co/UKcTwyI4B4",FALSE,1,NA,2016-11-11 23:36:26,FALSE,NA,"797221478987010048",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","debrajoy",0,FALSE,FALSE,NA,NA
"862","@_belle_curve_ Many more would have voted for #JillStein but I believe they were worried about #OrganizedCrime #Hillary getting in.",FALSE,0,"BrianGPowell",2016-11-11 23:33:29,FALSE,"797220369891463168","797220735790051328","68741593","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BrianGPowell",0,FALSE,FALSE,NA,NA
"863","@_belle_curve_
I mean, you voted #JillStein--excellent choice--but is she the only acceptable candidate?
Many more would have voted for her:",FALSE,0,"_belle_curve_",2016-11-11 23:32:02,FALSE,"797212966814973952","797220369891463168","1165934089","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BrianGPowell",0,FALSE,FALSE,NA,NA
"864","RT @javmaher9: Jill Stein voters did not deliver Donald Trump the #presidency https://t.co/dhZiZJL7Sv via @voxdotcom #JillStein
#DonaldTrum…",FALSE,0,NA,2016-11-11 23:27:33,FALSE,NA,"797219242441633793",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Rich_fxdump",4,TRUE,FALSE,NA,NA
"865","RT @GodelieveTT: @DrJillStein I was disappointend you took over #Bernie rallies but got very few votes. 
#JillStein. People didn't feel the…",FALSE,0,NA,2016-11-11 23:25:02,FALSE,NA,"797218606811643904",NA,"<a href=""http://andrewritchie.info"" rel=""nofollow"">BernieTweet</a>","the_fire_berns",1,TRUE,FALSE,NA,NA
"866","@DrJillStein I was disappointend you took over #Bernie rallies but got very few votes. 
#JillStein. People didn't feel the Bern. #Bernie.",FALSE,3,"DrJillStein",2016-11-11 23:24:40,FALSE,"797212437036548096","797218514444713984","111216929","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GodelieveTT",1,FALSE,FALSE,NA,NA
"867","Community Party Radio on @SoMetroRadio returns Tuesday: https://t.co/13eC8jV96J #DonaldTrump #Election2016 #JillStein #Hartford #CT",FALSE,0,NA,2016-11-11 23:23:43,FALSE,NA,"797218277898461184",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CommunityParty1",0,FALSE,FALSE,NA,NA
"868","RT @javmaher9: Jill Stein voters did not deliver Donald Trump the #presidency https://t.co/dhZiZJL7Sv via @voxdotcom #JillStein
#DonaldTrum…",FALSE,0,NA,2016-11-11 23:23:26,FALSE,NA,"797218206767259648",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DoomsdaysCW",4,TRUE,FALSE,NA,NA
"869","RT @javmaher9: Jill Stein voters did not deliver Donald Trump the #presidency https://t.co/dhZiZJL7Sv via @voxdotcom #JillStein
#DonaldTrum…",FALSE,0,NA,2016-11-11 23:17:34,FALSE,NA,"797216731198406656",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JenD1974",4,TRUE,FALSE,NA,NA
"870","Why I voted for #BernieSanders in the Primary and after the primary #JillStein in the General Election.

The... https://t.co/aoiPMuqd7H",FALSE,0,NA,2016-11-11 23:11:25,FALSE,NA,"797215182191788033",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","AlasandraATCAD",0,FALSE,FALSE,NA,NA
